time,magnitude
355806.12299999996,1
355806.2932,1
355806.8059,1
355825.407,1
355835.3462,1
355835.48799999995,1
355837.1224,1
355842.6529,1
355845.7453,1
355851.4517,1
355865.9516,1
355866.4857,1
355867.7765,1
355874.7693,1
355876.8335,1
355877.7359,1
355879.8806,1
355879.9342,1
355882.2262,1
355890.8331,1
355905.2871,1
355905.6657,1
355905.8834,1
355907.2737,1
355922.2097,1
355923.0131,1
355924.7589,1
355925.8772,1
355926.0056,1
355930.6192,1
355935.0697,1
355935.1588,1
355938.9202,1
355939.1251,1
355940.1642,1
355940.8735,1
355944.4668,1
355948.7666,1
355960.7927,1
355993.8068,1
355995.5279,1
356000.61600000004,1
356012.06,1
356016.6613,1
356018.9096,1
356025.1727,1
356025.5665,1
356038.2596,1
356042.4641,1
356046.1044,1
356050.0412,1
356050.3492,1
356061.2208,1
356063.2805,1
356066.03799999994,1
356069.5502,1
356073.7751,1
356075.3422,1
356076.6531,1
356080.9738,1
356081.5693,1
356084.1869,1
356085.69299999997,1
356087.0596,1
356089.3825,1
356101.6779,1
356110.3141,1
356115.9855,1
356116.20700000005,1
356124.6767,1
356127.7897,1
356132.7288,1
356134.0756,1
356134.3822,1
356144.5002,1
356145.7627,1
356154.7495,1
356157.9224,1
356162.7567,1
356166.3565,1
356176.5013,1
356181.8522,1
356188.7274,1
356189.3442,1
356199.763,1
356201.7798,1
356213.3864,1
356215.6109,1
356216.0157,1
356218.9199,1
356220.7762,1
356228.573,1
356231.4131,1
356231.4547,1
356232.2015,1
356232.3381,1
356244.1052,1
356244.4247,1
356251.7265,1
356274.5557,1
356275.2616,1
356279.4025,1
356279.5466,1
356282.8495,1
356283.4315,1
356284.4731,1
356288.8448,1
356289.06,1
356295.643,1
356315.9489,1
356318.7331,1
356325.0388,1
356326.2046,1
356326.7645,1
356327.9261,1
356332.4252,1
356334.0219,1
356334.376,1
356336.3346,1
356339.9497,1
356342.9558,1
356346.7533,1
356352.9269,1
356360.4254,1
356363.221,1
356364.8604,1
356370.6804,1
356372.6845,1
356374.8958,1
356376.8185,1
356379.0619,1
356379.458,1
356389.4258,1
356404.175,1
356406.0537,1
356415.2464,1
356415.4132,1
356416.8448,1
356416.8646,1
356418.9488,1
356426.5685,1
356427.9498,1
356429.0768,1
356431.0738,1
356433.4558,1
356434.289,1
356438.8991,1
356439.2179,1
356439.2649,1
356440.9077,1
356440.915,1
356449.8916,1
356458.5162,1
356459.2576,1
356459.55799999996,1
356465.511,1
356466.5416,1
356470.1052,1
356473.8101,1
356477.5175,1
356478.3574,1
356483.9919,1
356484.4573,1
356490.9873,1
356491.425,1
356492.9151,1
356494.3917,1
356502.7044,1
356504.7091,1
356512.9564,1
356515.1689,1
356523.2294,1
356525.6238,1
356525.8656,1
356533.8549,1
356540.9479,1
356544.4156,1
356550.0161,1
356553.7734,1
356554.7712,1
356557.8198,1
356560.7232,1
356569.7912,1
356575.5694,1
356577.2333,1
356579.1373,1
356580.4466,1
356594.7745,1
356595.1697,1
356596.0673,1
356597.9268,1
356603.3668,1
356613.691,1
356617.411,1
356622.0211,1
356628.0041,1
356630.0311,1
356634.8671,1
356638.3653,1
356641.6694,1
356643.4252,1
356654.5695,1
356679.1108,1
356679.1928,1
356682.7178,1
356684.6974,1
356688.4428,1
356689.3599,1
356690.4049,1
356691.8961,1
356692.9807,1
356695.8915,1
356698.9703,1
356699.5565,1
356701.229,1
356702.2455,1
356704.5923,1
356705.3373,1
356707.0028,1
356707.6287,1
356707.7538,1
356715.6156,1
356717.1875,1
356719.1323,1
356719.5076,1
356725.4458,1
356728.6241,1
356729.87299999996,1
356731.5447,1
356732.2706,1
356733.6527,1
356733.7745,1
356741.1379,1
356751.0616,1
356751.9361,1
356754.6479,1
356755.2334,1
356760.2532,1
356766.1724,1
356778.7469,1
356778.7649,1
356782.835,1
356783.833,1
356788.2472,1
356788.6747,1
356792.8658,1
356793.776,1
356799.8944,1
356806.0062,1
356813.3636,1
356826.9051,1
356839.5757,1
356840.342,1
356841.8337,1
356842.7846,1
356849.1347,1
356851.9416,1
356854.6279,1
356857.3948,1
356864.6771,1
356872.8523,1
356874.0116,1
356885.8004,1
356885.9717,1
356892.8529,1
356897.4375,1
356906.8094,1
356911.3557,1
356914.461,1
356915.6832,1
356916.7573,1
356920.5653,1
356933.5304,1
356947.7081,1
356948.5987,1
356949.4654,1
356950.0761,1
356956.8399,1
356962.1071,1
356963.2694,1
356966.4472,1
356969.1609,1
356977.3912,1
356977.9039,1
356978.2236,1
356982.4778,1
356983.4399,1
356985.9719,1
356996.1379,1
357009.4586,1
357013.8606,1
357015.5244,1
357021.9678,1
357023.6199,1
357026.5599,1
357028.3884,1
357029.8846,1
357033.724,1
357044.2204,1
357049.2171,1
357050.1718,1
357057.1205,1
357058.8456,1
357059.4381,1
357063.1289,1
357065.549,1
357071.3591,1
357080.1059,1
357080.5689,1
357082.2323,1
357089.8014,1
357101.479,1
357105.9032,1
357106.6815,1
357107.4595,1
357107.7804,1
357111.6743,1
357113.2964,1
357115.2268,1
357115.82,1
357117.44899999996,1
357120.3732,1
357124.859,1
357135.4549,1
357137.1363,1
357145.6508,1
357147.1043,1
357149.6967,1
357155.9056,1
357156.3308,1
357157.1374,1
357158.0595,1
357159.159,1
357160.0863,1
357161.1732,1
357162.3729,1
357162.4727,1
357168.0453,1
357172.5898,1
357177.6474,1
357178.2835,1
357181.13700000005,1
357182.5449,1
357183.6036,1
357183.7593,1
357187.0196,1
357188.6532,1
357190.3172,1
357190.4172,1
357192.9411,1
