time,magnitude
355818.352,1
355822.6587,1
355823.3672,1
355858.6289,1
355877.555,1
355887.4929,1
355894.4653,1
355902.5197,1
355910.3379,1
355950.0105,1
355965.0577,1
355966.6392,1
355973.3225,1
355976.0561,1
355986.2559,1
355988.3513,1
355997.7344,1
356075.4303,1
356097.6681,1
356113.1392,1
356122.8415,1
356137.2804,1
356173.0327,1
356173.7878,1
356212.0909,1
356213.2173,1
356227.6272,1
356231.6566,1
356253.2711,1
356256.0067,1
356263.9672,1
356269.343,1
356346.4762,1
356351.7681,1
356457.3785,1
356478.0209,1
356493.9204,1
356525.4071,1
356537.404,1
356567.3092,1
356573.2947,1
356590.7511,1
356672.5674,1
356678.4109,1
356680.6203,1
356681.262,1
356709.7561,1
356710.6852,1
356715.7493,1
356733.9642,1
356734.9369,1
356736.1469,1
356764.6983,1
356776.8002,1
356859.0615,1
356881.6882,1
356906.7658,1
356920.9944,1
356933.6063,1
356944.0968,1
356944.83,1
356970.4002,1
356985.9817,1
356993.8474,1
356996.7015,1
357020.0388,1
357048.789,1
357070.5866,1
357095.4898,1
357101.3821,1
357160.0855,1
357181.4604,1
357181.7579,1
357201.136,1
357225.3961,1
357241.8295,1
357246.4335,1
357257.0833,1
357271.5954,1
357298.1655,1
357320.2725,1
357358.407,1
357381.3492,1
357387.435,1
357445.6985,1
357455.2782,1
357480.7361,1
357481.7783,1
357504.9036,1
357551.2089,1
357593.8266,1
357718.6908,1
357728.0653,1
357737.7408,1
357808.0124,1
357837.1979,1
357847.2532,1
357854.5701,1
357865.8838,1
357881.7491,1
357886.7968,1
357898.5108,1
357912.1506,1
357912.2912,1
357936.5477,1
357949.2041,1
357966.1656,1
357986.4178,1
358006.87,1
358014.7407,1
358033.7567,1
358043.9945,1
358047.0093,1
358047.7439,1
358059.8244,1
358085.043,1
358131.2664,1
358140.6477,1
358151.6675,1
358165.146,1
358166.0352,1
358208.3749,1
358234.45,1
358254.2259,1
358264.3194,1
358289.3801,1
358294.5256,1
358327.9792,1
358366.6864,1
358371.335,1
358389.3342,1
358443.3432,1
358473.69,1
358478.4494,1
358508.8359,1
358510.8778,1
358544.0809,1
358545.9356,1
358548.0969,1
358558.9514,1
358584.1215,1
358611.7938,1
358612.9871,1
358623.2655,1
358636.9743,1
358703.7434,1
358712.5695,1
358733.9624,1
358756.8652,1
358776.3327,1
358792.0708,1
358807.1166,1
358808.1127,1
358808.8671,1
358829.2499,1
358834.606,1
358838.641,1
358869.7242,1
358883.4328,1
358896.5013,1
358903.2824,1
358912.1165,1
358920.9363,1
358997.4762,1
359007.0241,1
359061.2612,1
359078.4455,1
359081.8031,1
359096.3704,1
359114.7923,1
359120.8507,1
359173.1931,1
359187.1532,1
359202.831,1
359226.1016,1
359244.3672,1
359254.7717,1
359284.675,1
359285.8459,1
359286.6945,1
359302.4841,1
359337.5389,1
359346.126,1
359355.2901,1
359360.8608,1
359364.2526,1
359366.4767,1
359378.1693,1
359384.1202,1
359390.38,1
359444.7081,1
359464.5115,1
359499.6851,1
359519.3485,1
359529.3628,1
359552.1331,1
359552.8533,1
359557.9511,1
359586.1682,1
359589.559,1
359622.896,1
359631.6008,1
359636.3448,1
359641.0621,1
359644.2458,1
359653.5532,1
359658.842,1
359663.9997,1
359703.5871,1
359709.888,1
359711.6523,1
359776.361,1
359783.3153,1
359795.3545,1
359799.9984,1
359820.7217,1
359821.3966,1
359855.5332,1
359923.3377,1
359924.718,1
359928.5472,1
359953.4061,1
359998.8966,1
360020.9926,1
360026.4434,1
360039.6078,1
360049.5994,1
360094.6515,1
360115.816,1
360128.3143,1
360132.6391,1
360137.704,1
360151.644,1
360181.6319,1
360196.8096,1
360235.1098,1
360240.7827,1
360262.9219,1
360263.1254,1
360280.6049,1
360311.428,1
360341.8818,1
360354.1965,1
360366.5298,1
360394.9758,1
360396.9248,1
360413.59,1
360435.4207,1
360441.876,1
360443.2727,1
360455.9352,1
360481.6767,1
360490.7965,1
360491.5689,1
360509.6907,1
360544.8123,1
360553.1575,1
360597.3034,1
360613.2668,1
360616.6441,1
360620.9011,1
360621.9718,1
360631.8636,1
360652.2693,1
360661.0217,1
360674.2143,1
360679.7376,1
360755.0858,1
360757.684,1
360782.3208,1
360828.7191,1
360831.7844,1
360831.8497,1
360855.4633,1
360888.5015,1
360891.4001,1
360900.64,1
360903.0019,1
360918.4533,1
360919.9319,1
360939.538,1
360955.1432,1
360963.3415,1
360980.0801,1
360984.8142,1
361001.868,1
361010.1267,1
361017.1981,1
361026.8783,1
361036.8547,1
361061.9044,1
361082.5258,1
361087.4103,1
361099.3314,1
361108.08,1
361111.4356,1
361115.199,1
361185.0226,1
361191.4158,1
361216.2723,1
