"","time","magnitude"
"1","1970-01-04 09:27:00",40
"2","1970-01-04 09:28:00",53
"3","1970-01-04 09:29:00",49
"4","1970-01-04 09:30:00",36
"5","1970-01-04 09:31:00",51
"6","1970-01-04 09:32:00",49
"7","1970-01-04 09:33:00",36
"8","1970-01-04 09:34:00",47
"9","1970-01-04 09:35:00",43
"10","1970-01-04 09:36:00",48
"11","1970-01-04 09:37:00",46
"12","1970-01-04 09:38:00",41
"13","1970-01-04 09:39:00",49
"14","1970-01-04 09:40:00",33
"15","1970-01-04 09:41:00",39
"16","1970-01-04 09:42:00",49
"17","1970-01-04 09:43:00",32
"18","1970-01-04 09:44:00",47
"19","1970-01-04 09:45:00",36
"20","1970-01-04 09:46:00",44
"21","1970-01-04 09:47:00",43
"22","1970-01-04 09:48:00",39
"23","1970-01-04 09:49:00",33
"24","1970-01-04 09:50:00",37
"25","1970-01-04 09:51:00",40
"26","1970-01-04 09:52:00",44
"27","1970-01-04 09:53:00",40
"28","1970-01-04 09:54:00",40
"29","1970-01-04 09:55:00",33
"30","1970-01-04 09:56:00",34
"31","1970-01-04 09:57:00",35
"32","1970-01-04 09:58:00",43
"33","1970-01-04 09:59:00",35
"34","1970-01-04 10:00:00",46
"35","1970-01-04 10:01:00",37
"36","1970-01-04 10:02:00",31
"37","1970-01-04 10:03:00",27
"38","1970-01-04 10:04:00",29
"39","1970-01-04 10:05:00",33
"40","1970-01-04 10:06:00",23
"41","1970-01-04 10:07:00",22
"42","1970-01-04 10:08:00",23
"43","1970-01-04 10:09:00",23
"44","1970-01-04 10:10:00",36
"45","1970-01-04 10:11:00",37
"46","1970-01-04 10:12:00",25
"47","1970-01-04 10:13:00",28
"48","1970-01-04 10:14:00",37
"49","1970-01-04 10:15:00",30
"50","1970-01-04 10:16:00",23
"51","1970-01-04 10:17:00",31
"52","1970-01-04 10:18:00",28
"53","1970-01-04 10:19:00",26
"54","1970-01-04 10:20:00",32
"55","1970-01-04 10:21:00",20
"56","1970-01-04 10:22:00",24
"57","1970-01-04 10:23:00",22
"58","1970-01-04 10:24:00",25
"59","1970-01-04 10:25:00",26
"60","1970-01-04 10:26:00",20
"61","1970-01-04 10:27:00",26
"62","1970-01-04 10:28:00",30
"63","1970-01-04 10:29:00",20
"64","1970-01-04 10:30:00",30
"65","1970-01-04 10:31:00",26
"66","1970-01-04 10:32:00",19
"67","1970-01-04 10:33:00",21
"68","1970-01-04 10:34:00",29
"69","1970-01-04 10:35:00",26
"70","1970-01-04 10:36:00",13
"71","1970-01-04 10:37:00",40
"72","1970-01-04 10:38:00",18
"73","1970-01-04 10:39:00",24
"74","1970-01-04 10:40:00",26
"75","1970-01-04 10:41:00",16
"76","1970-01-04 10:42:00",22
"77","1970-01-04 10:43:00",22
"78","1970-01-04 10:44:00",21
"79","1970-01-04 10:45:00",19
"80","1970-01-04 10:46:00",28
"81","1970-01-04 10:47:00",17
"82","1970-01-04 10:48:00",25
"83","1970-01-04 10:49:00",23
"84","1970-01-04 10:50:00",25
"85","1970-01-04 10:51:00",21
"86","1970-01-04 10:52:00",15
"87","1970-01-04 10:53:00",22
"88","1970-01-04 10:54:00",22
"89","1970-01-04 10:55:00",34
"90","1970-01-04 10:56:00",30
"91","1970-01-04 10:57:00",19
"92","1970-01-04 10:58:00",15
"93","1970-01-04 10:59:00",21
"94","1970-01-04 11:00:00",14
"95","1970-01-04 11:01:00",10
"96","1970-01-04 11:02:00",13
"97","1970-01-04 11:03:00",11
"98","1970-01-04 11:04:00",18
"99","1970-01-04 11:05:00",13
"100","1970-01-04 11:06:00",16
"101","1970-01-04 11:07:00",11
"102","1970-01-04 11:08:00",15
"103","1970-01-04 11:09:00",8
"104","1970-01-04 11:10:00",16
"105","1970-01-04 11:11:00",13
"106","1970-01-04 11:12:00",11
"107","1970-01-04 11:13:00",14
"108","1970-01-04 11:14:00",8
"109","1970-01-04 11:15:00",19
"110","1970-01-04 11:16:00",24
"111","1970-01-04 11:17:00",10
"112","1970-01-04 11:18:00",13
"113","1970-01-04 11:19:00",11
"114","1970-01-04 11:20:00",17
"115","1970-01-04 11:21:00",10
"116","1970-01-04 11:22:00",10
"117","1970-01-04 11:23:00",17
"118","1970-01-04 11:24:00",11
"119","1970-01-04 11:25:00",15
"120","1970-01-04 11:26:00",21
