"","time","magnitude"
"1","1970-01-05 11:50:00",10
"2","1970-01-05 11:51:00",14
"3","1970-01-05 11:52:00",15
"4","1970-01-05 11:53:00",9
"5","1970-01-05 11:54:00",17
"6","1970-01-05 11:55:00",13
"7","1970-01-05 11:56:00",12
"8","1970-01-05 11:57:00",13
"9","1970-01-05 11:58:00",17
"10","1970-01-05 11:59:00",13
"11","1970-01-05 12:00:00",22
"12","1970-01-05 12:01:00",16
"13","1970-01-05 12:02:00",15
"14","1970-01-05 12:03:00",13
"15","1970-01-05 12:04:00",15
"16","1970-01-05 12:05:00",23
"17","1970-01-05 12:06:00",13
"18","1970-01-05 12:07:00",12
"19","1970-01-05 12:08:00",11
"20","1970-01-05 12:09:00",16
"21","1970-01-05 12:10:00",15
"22","1970-01-05 12:11:00",17
"23","1970-01-05 12:12:00",20
"24","1970-01-05 12:13:00",19
"25","1970-01-05 12:14:00",17
"26","1970-01-05 12:15:00",16
"27","1970-01-05 12:16:00",13
"28","1970-01-05 12:17:00",16
"29","1970-01-05 12:18:00",16
"30","1970-01-05 12:19:00",20
"31","1970-01-05 12:20:00",23
"32","1970-01-05 12:21:00",12
"33","1970-01-05 12:22:00",19
"34","1970-01-05 12:23:00",15
"35","1970-01-05 12:24:00",16
"36","1970-01-05 12:25:00",13
"37","1970-01-05 12:26:00",7
"38","1970-01-05 12:27:00",10
"39","1970-01-05 12:28:00",15
"40","1970-01-05 12:29:00",20
"41","1970-01-05 12:30:00",25
"42","1970-01-05 12:31:00",13
"43","1970-01-05 12:32:00",16
"44","1970-01-05 12:33:00",15
"45","1970-01-05 12:34:00",18
"46","1970-01-05 12:35:00",19
"47","1970-01-05 12:36:00",18
"48","1970-01-05 12:37:00",21
"49","1970-01-05 12:38:00",14
"50","1970-01-05 12:39:00",16
"51","1970-01-05 12:40:00",22
"52","1970-01-05 12:41:00",13
"53","1970-01-05 12:42:00",12
"54","1970-01-05 12:43:00",15
"55","1970-01-05 12:44:00",18
"56","1970-01-05 12:45:00",10
"57","1970-01-05 12:46:00",14
"58","1970-01-05 12:47:00",18
"59","1970-01-05 12:48:00",17
"60","1970-01-05 12:49:00",16
"61","1970-01-05 12:50:00",16
"62","1970-01-05 12:51:00",14
"63","1970-01-05 12:52:00",18
"64","1970-01-05 12:53:00",19
"65","1970-01-05 12:54:00",22
"66","1970-01-05 12:55:00",20
"67","1970-01-05 12:56:00",21
"68","1970-01-05 12:57:00",29
"69","1970-01-05 12:58:00",16
"70","1970-01-05 12:59:00",18
"71","1970-01-05 13:00:00",35
"72","1970-01-05 13:01:00",34
"73","1970-01-05 13:02:00",21
"74","1970-01-05 13:03:00",29
"75","1970-01-05 13:04:00",33
"76","1970-01-05 13:05:00",33
"77","1970-01-05 13:06:00",31
"78","1970-01-05 13:07:00",36
"79","1970-01-05 13:08:00",34
"80","1970-01-05 13:09:00",35
"81","1970-01-05 13:10:00",37
"82","1970-01-05 13:11:00",35
"83","1970-01-05 13:12:00",23
"84","1970-01-05 13:13:00",38
"85","1970-01-05 13:14:00",48
"86","1970-01-05 13:15:00",32
"87","1970-01-05 13:16:00",46
"88","1970-01-05 13:17:00",40
"89","1970-01-05 13:18:00",34
"90","1970-01-05 13:19:00",39
"91","1970-01-05 13:20:00",37
"92","1970-01-05 13:21:00",45
"93","1970-01-05 13:22:00",37
"94","1970-01-05 13:23:00",31
"95","1970-01-05 13:24:00",39
"96","1970-01-05 13:25:00",48
"97","1970-01-05 13:26:00",46
"98","1970-01-05 13:27:00",45
"99","1970-01-05 13:28:00",40
"100","1970-01-05 13:29:00",46
"101","1970-01-05 13:30:00",49
"102","1970-01-05 13:31:00",34
"103","1970-01-05 13:32:00",53
"104","1970-01-05 13:33:00",47
"105","1970-01-05 13:34:00",55
"106","1970-01-05 13:35:00",50
"107","1970-01-05 13:36:00",58
"108","1970-01-05 13:37:00",51
"109","1970-01-05 13:38:00",43
"110","1970-01-05 13:39:00",51
"111","1970-01-05 13:40:00",50
"112","1970-01-05 13:41:00",53
"113","1970-01-05 13:42:00",61
"114","1970-01-05 13:43:00",56
"115","1970-01-05 13:44:00",43
"116","1970-01-05 13:45:00",51
"117","1970-01-05 13:46:00",55
"118","1970-01-05 13:47:00",50
"119","1970-01-05 13:48:00",52
"120","1970-01-05 13:49:00",60
